experiment_id,model_config,stage,input_tokens,output_tokens,latency_ms,dsl_errors,render_errors,type_error_count,reference_error_count,cycle_detected,regenerated,runtime_error,timestamp
"exp_1765620460044","A","3","2369","1224","7118","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:09:48 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2364","1210","8352","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:09:54 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4062","1141","9639","","","0","0","false","false","false","Sat Dec 13 2025 19:09:57 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1499","813","10865","","","0","0","false","false","false","Sat Dec 13 2025 19:10:08 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1715","1036","5999","","","0","0","false","false","false","Sat Dec 13 2025 19:10:11 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2950","1363","8574","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:10:19 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4144","1247","9085","","","0","0","false","false","false","Sat Dec 13 2025 19:10:28 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1733","976","5626","","","0","0","false","false","false","Sat Dec 13 2025 19:10:34 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2995","1516","8723","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:10:43 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4149","1312","11523","","","0","0","false","false","false","Sat Dec 13 2025 19:10:54 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","3312","1749","11449","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:11:06 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1664","898","5427","","","0","0","false","false","false","Sat Dec 13 2025 19:11:21 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4060","1285","9540","","","0","0","false","false","false","Sat Dec 13 2025 19:11:39 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4124","1221","9539","","","0","0","false","false","false","Sat Dec 13 2025 19:14:43 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","3214","1806","11792","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:15:00 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4061","1113","8634","","","0","0","false","false","false","Sat Dec 13 2025 19:15:09 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2326","1303","6377","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:10:37 GMT+0900 (Japan Standard Time)"
